,prglngth,pregordr,multbrth,wksgest,mosgest,babysex,babysex2,hpagelb,knewpreg,trimestr,priorsmk,postsmks,npostsmk,getprena,bgnprena,pnctrim,workpreg,workborn,didwork,matweeks,weeksdk,matleave,matchfound,stopduse,whystopd,whatmeth01,whatmeth02,whatmeth03,whatmeth04,resnouse,wantbold,probbabe,cnfrmno,timingok,toosoon_n,toosoon_p,wthpart1,wthpart2,feelinpg,hpwnold,timokhp,cohpbeg,cohpend,tellfath,whentell,tryscale,wantscal,whyprg1,whynouse1,whynouse2,whynouse3,anyusint,birthord,datend,agepreg,datecon,agecon,fmarout5,pmarpreg,rmarout6,fmarcon5,learnprg,pncarewk,paydeliv,lbw1,bfeedwks,maternlv,oldwantr,oldwantp,wantresp,wantpart,cmbirth,ager,agescrn,fmarital,rmarital,educat,hieduc,race,hispanic,hisprace,rcurpreg,pregnum,parity,insuranc,pubassis,poverty,laborfor,religion,metro,brnout,yrstrus,prglngth_i,datend_i,agepreg_i,datecon_i,agecon_i,fmarout5_i,pmarpreg_i,rmarout6_i,fmarcon5_i,learnprg_i,pncarewk_i,paydeliv_i,lbw1_i,bfeedwks_i,maternlv_i,oldwantr_i,oldwantp_i,wantresp_i,wantpart_i,hieduc_i,hispanic_i,hisprace_i,parity_i,poverty_i,laborfor_i,sest
whatmeth04,-0.5073946634107297,0.18772974340407458,,-0.5073946634107297,-0.5089025260615638,-0.0996617242321091,,0.327936325625297,1.0,,,,,,-1.0,,,,,-1.0,,1.0,0.6507913734559685,,,-0.06990313797472882,0.1719973969336977,0.30880867009659446,1.0,,-0.09134147903669095,,,0.3744654309470488,-0.8219949365267865,0.8219949365267866,,0.8,-1.0,-0.5089025260615638,,0.15103052333254427,0.3417430630867044,,,-1.0,-1.0,,,,,0.19573174079290917,0.24412037125463698,0.09074268398912853,0.5101159374102231,0.0932212823387063,0.5123825650572778,-0.42619656572835896,0.4584439314677019,-0.3158710102332196,-0.7467394754878787,1.0,-1.0,,,0.11422229516672983,,-0.25850645255988747,-0.5089025260615638,-0.25850645255988747,-0.5089025260615638,-0.25497442654079316,0.22552594970023102,0.22552594970023102,-0.22926529282349864,-0.21770475102809797,0.39221668664258785,0.2602437310201953,-0.6577673799319201,,0.6577673799319201,0.19573174079290917,0.4948416204944698,0.6041670947897597,-0.13809533595194506,-0.034523833987986266,-0.05274706564939876,-0.360900343831151,0.27619067190389013,-0.06524391359763639,,,,,,,,0.5780380005462328,,0.5780380005462328,0.5780380005462328,,,,,,,,,,,,,,,,,0.0129470010705472
whynouse3,-0.3317444013485185,0.4014775342734831,,-0.3317444013485185,-0.37500000000000006,,,-0.982123683216049,0.7484551991837489,,0.24999999999999994,-0.25,,,0.8427009716003843,,-0.25,,,,,,-0.6123724356957945,,,,,,,,0.6123724356957945,,,,1.0,,,-0.24999999999999994,-0.3885143449429056,0.408248290463863,0.8660254037844387,0.408248290463863,0.408248290463863,,,0.8451542547285166,0.3885143449429056,,-0.8385254915624212,-0.34299717028501764,1.0,0.408248290463863,0.40824829046386296,-0.48989960111331426,-0.32264223244979123,-0.4755328414702978,-0.3139416540807185,-0.37499999999999994,0.4082482904638631,-0.17206180040292135,-0.37499999999999994,0.7484551991837489,0.8427009716003843,-0.4082482904638631,,-0.6128477024751247,0.25,0.6123724356957946,0.062499999999999986,0.6123724356957946,0.062499999999999986,0.19839434543221973,-0.2539496915923951,-0.2539496915923951,-0.49236596391733095,-0.464139560816457,-0.4909902530309828,-0.37741470621203443,0.8017837257372732,-0.4082482904638631,-0.8017837257372731,,0.35355339059327373,0.24999999999999994,0.4082482904638631,0.24999999999999997,0.6067445512970443,-0.3887407915116121,-0.6123724356957946,-1.0,-0.25,,,,,,,0.24999999999999997,,0.24999999999999997,0.24999999999999997,,,,,,,,,,,,,,,,,-0.36769166774444
whatmeth03,-0.1651681577194161,0.25280468230409103,,-0.1651681577194161,-0.1727471540905047,0.12528722538887624,,0.15529535056216903,0.6121485020591757,,-0.07755421991878939,-0.05809553752636246,-0.44172610429938614,,0.36343253332765063,,0.4885780499706088,0.054453277011733,,0.35493250053921455,,0.07161148740394328,0.05922397179007875,,,-0.021220825261829675,0.39751024501941207,1.0,0.30880867009659446,,0.1615928153573773,1.0,,-0.059395616918102384,0.19655575299587708,0.22438360738935892,0.14980362703836478,0.0918774326549819,-0.12770726147456166,0.08830873096642525,-0.16708877619854318,-0.24773670410740203,-0.2940122678768009,0.14469835253435706,,-0.10794541929123821,-0.04388725046716941,-0.34752402342845795,1.0,,,-0.02972689996615865,0.16807246821872215,-0.08514515584731666,0.0517003899433795,-0.08445113526567384,0.05258776063448311,-0.04128289732431953,0.07329932392152883,-0.02595931227842044,0.021272300427495262,0.3561916361403558,0.36343253332765063,0.07155932446187992,0.05663621377246401,0.0027373331522136503,-0.32420262585640136,0.13447946712128964,0.1344627949851001,0.13447946712128964,0.1344627949851001,-0.13060878945507873,0.1284150938888235,0.1284150938888235,-0.1567748569333651,-0.16705493346577532,-0.14297353043902233,-0.10531363222839504,0.10309667200201214,0.03611346257210648,0.13603224544923004,0.18750554001825206,0.18974394430959918,0.2506258386957361,-0.18961739418675722,0.09446300055936124,0.030282986466023537,0.30738539102589013,0.06048598395892004,-0.20687553999010333,0.03757329303929316,,,,,,,-0.22136713589071563,,-0.22136713589071563,-0.15947132977385647,,,,,,,-0.02637225138141143,,-0.02637225138141143,,,,,,0.057741310626560904,,0.07872457654404989
prglngth_i,-0.14850513727301562,-0.07060197452325616,0.1548100946758118,0.07109269120681867,0.13939998085900318,0.007020075514535052,-0.047294200711286025,-0.08697269098979708,0.01250060482270249,,-0.001007782084118594,-0.022006727417978395,-0.038003412975029204,0.046168835145435405,0.015541763751137855,,0.04799553245851199,0.012015317036374715,0.22243243361140097,0.09961508521029977,0.317999364001908,0.1705313702363294,0.0046864743884440715,0.004590249518080634,0.056640951838008394,0.0015951876770786797,,,,0.041098515178263025,0.00781903239254069,-0.09412285044779943,-0.06579516949597691,-0.013705933640126079,-0.018642444793758033,-0.008697046436585277,-2.4646004830940787e-05,0.009389303412374839,-0.03845996408755735,0.04459955404344451,-0.02520774924038996,0.05915323573857843,0.027899543389260942,-0.01237370332661105,0.05567029040583383,-0.01629386957089309,-0.0265048760783317,0.06054372875169555,-0.04251267978716841,,,0.023798744487797546,-0.06303966017732489,-0.08818604699939346,-0.09969245990639455,-0.08829522904893507,-0.0998187064971506,0.050667778920894566,-0.05391058745483268,0.05256279105073403,0.06556458417024086,0.028537749998006456,0.05186524569984115,0.010013623737422678,-0.013562959523333458,0.026097890891004945,-0.03288096328571673,0.03204884410677118,0.053269428727521675,0.032071100890736205,0.053526013237733934,-0.0017268107964328123,0.0009062764056029366,0.0009062764056029366,0.023558765002945323,0.027242081147422163,-0.03450663937577597,-0.03270298537288094,-0.0005474382765522708,-0.009762609826196415,0.005385555113820485,0.0030854780039574824,-0.009528032411181837,-0.00467368222947867,0.008099283519202607,-8.260345176845923e-05,-0.02262751241470027,-0.004171809071489829,0.005254714115101348,-0.020137395616231162,-0.009055293593347133,-0.013004321778989343,1.0,0.012565832231013483,0.005832733825984668,0.04274927552072937,0.02736300192353564,-0.023377076674048015,-0.00820209079365249,-0.02254685308813093,0.060693138915019824,-0.0006978831896040496,0.01107820163315864,-0.0014736833975225426,0.012964735803435668,0.011163143492049827,0.01398561541647961,0.01964012440116957,-0.003902957041540547,0.01964012440116957,-0.004508527366939129,-0.0014736833975228236,-0.0017017588241813974,,0.00924141865014446,0.0175327436795661,-0.0024071926306152196,0.019335320199788474
trimestr,-0.10823626487770477,2.266233259184197e-17,,-0.10823626487770477,-0.09205746178983229,0.0,,0.11066285797936323,0.21320071635561041,1.0,-0.21320071635561047,0.21320071635561044,,-0.21320071635561044,0.1523016832106798,1.0,0.25,-0.3333333333333333,,-0.19369858651936994,,-0.3934061644642534,0.158113883008419,-0.16666666666666666,,0.5000000000000001,,,,0.39999999999999997,0.015684465563881998,,,-0.6454972243679029,,,-0.2,-0.24253562503633297,-0.14907119849998599,0.15811388300841897,0.21821789023599242,0.0,-0.49999999999999994,-0.2182178902359924,,-0.3142857142857143,-0.2127980706395726,,,,,-0.158113883008419,0.1912730139190014,0.1272509154036918,-0.18193513790957502,0.13105147470924192,-0.18129961402131148,-0.4082482904638631,0.4082482904638631,-0.4082482904638629,0.11952286093343932,0.4492389591944364,-0.13904341592728528,0.06178020632152153,0.21320071635561044,0.24262509564485604,-0.32732683535398854,0.2054987341316967,0.10570328451633801,0.2054987341316967,0.10570328451633801,0.21099327992072497,-0.209914490272852,-0.209914490272852,-0.3162277660168379,-0.3162277660168379,0.020734575325515866,0.04724555912615344,0.09205746178983229,0.2132007163556105,0.2734343708098653,0.2132007163556105,-0.264258211290845,0.0,0.17496355305594125,2.266233259184197e-17,-0.00992415337994785,-0.13363062095621214,0.09449111825230674,-0.24999999999999997,-0.621698991453504,,,,,,,,,,,-0.11952286093343932,,-0.21320071635561044,,,,,,,,,,,,-0.31622776601683794,-0.21320071635561047,0.552969948947871
cnfrmno,-0.10581686704805927,-0.08257228238447702,,-0.16658099888065903,-0.2844627935584562,0.2041241452319315,,0.016480213209457188,-0.1389782129641373,,-0.14661427499966245,0.1123666437438736,,-0.06579516949597691,-0.10280487004409306,,0.06579516949597689,,,,,,-0.12666009927622468,,,,,,,,,,1.0,,,,,-0.43715919515787577,0.21577438272178898,0.10448925095464313,,0.11834526708278767,0.10286889997472792,-0.08084520834544434,-0.06249999999999997,0.32262120150468676,0.566946709513841,,-0.06804138174397716,,,-0.1410190187044415,-0.04545454545454545,0.08713964006538101,0.15143275773882653,0.09649916212937776,0.16282989403338957,0.04545454545454545,-0.04545454545454545,0.07082142317965108,0.04545454545454545,-0.1389782129641373,-0.10665937906660097,0.06811865761413323,0.09782319760890375,0.1250233607765862,-0.06579516949597691,,0.08680003787638842,-1.0,0.08680003787638842,-0.05713841506751282,-0.009278370237815064,-0.009278370237815064,0.06212365249219368,-0.29726756647775215,-0.08747121428506727,-0.1784537195677025,-0.1860182372854462,-0.46466018864229247,-0.36158769176445493,0.0657951694959769,0.2089179126232981,0.3667434323290368,0.28361573778725535,-0.1123666437438736,-0.12118676559296694,0.25846628572022895,0.12666009927622468,-0.29792484582393214,0.045454545454545456,,-0.06579516949597691,,,,,,,,,,,,,,,,,,,,,,,-0.06579516949597693,,-0.07733513553770266
whyprg1,-0.09410238242032937,0.0808507434277055,,-0.08789652508197308,-0.08284575939118069,0.0523808586042552,,0.05767425661665523,0.017409176338384402,,-0.058725389576045964,0.017832537284695756,-0.15882315055164253,0.008918367614230644,0.048504720222352554,-0.3333333333333333,0.03386129794693431,0.017807172882866668,0.16036840071269354,-0.05164178889932577,,0.09946875994384667,-0.0034722850172962754,-0.37537294185364634,0.07340252743933794,-0.12654482081883636,0.29779292502751864,-0.34752402342845795,,0.08623274626849647,0.13404659418649975,,,,0.04352318744312004,0.0332634509887258,,0.13454520643758483,0.05680296816848787,0.056772789937144665,0.13682546453274547,0.09575873699225523,0.14886549427272056,0.22524815728708203,0.01823724718529166,0.08440877301767698,0.08641227773106418,1.0,,,,0.11174988282634472,0.014587096230486091,-0.04253660619929785,0.02668070174887749,-0.04047332502120485,0.027287085453857097,0.0752537338116946,-0.06327921137973025,0.07850687137693163,0.052208952515746046,0.01601193403460562,0.008717567653539633,0.03324534229208487,-0.03428809295999121,0.0018872777583472536,-0.0013009109008760684,0.11720756821906828,0.022611342243956854,0.11720756821906828,0.022611342243956854,-0.0381397514778456,0.03722925193638204,0.03722925193638204,0.07854696600093285,0.13900421278129185,-0.08991766145449004,-0.10739919837175643,-0.036336686551669835,-0.022102101057787767,0.08929653475688804,-0.049635415290027726,0.13479301793964524,0.023253993865811104,0.07897806964824129,0.04282279244947309,-0.06472015646452627,-0.03123817397153334,0.07018233403317517,0.03253001623360429,0.015643103638010383,-0.09443375630202414,0.06054372875169555,0.053768580167980605,0.05301469828541133,0.053768580167980605,0.05301469828541133,0.12498466394230456,0.053768580167980605,0.16067902971131062,0.12498466394230456,0.04327486859466506,0.053768580167980605,,,0.060543728751695815,0.053768580167980605,,,,,,,,0.27787712873414766,0.1350652705293549,,-0.07593116012796268
probbabe,-0.08571574384068957,0.16047993569541988,1.0,-0.11037768799086685,-0.061937277022545055,0.04709557214338105,-0.49999999999999994,0.05173729379822539,0.1339926630767153,,-0.004722660110480847,0.03703209445066577,0.3234215794076912,0.19151927141767244,0.012947783856377279,,0.10227092566876475,0.2507066818958667,0.28030119397230885,-0.1127585468690593,,-0.4168137561417868,0.10835384328456842,0.11715016560489286,,-0.09616568520412504,0.2457387073057094,1.0,,0.4489703522067044,0.35115063436294414,1.0,,,,,,0.5860756492263238,0.45779247118956773,0.2675566564033823,0.040362939779799094,0.08915070518463301,0.15708931405708762,0.36457279887240723,-0.08532328893794243,0.4649743913853912,0.4699856735360229,,,,,-0.09226396477564196,0.14020530510269932,-0.016587668884273227,0.11422992937301983,-0.016169942580976614,0.11454779654383618,-0.08395909400127127,0.10814280438738032,-0.08551877281148043,-0.0998662247876941,0.06009644925860396,0.18551856610905484,0.010435166000465247,-0.09130334455585166,-0.03346032379221504,0.05296378117445079,0.8297356358612376,0.20288924513469858,0.8297356358612376,0.12152741930955757,-0.11933592883664627,0.10820042122500538,0.10820042122500538,-0.023599082267229225,0.08463783939302537,0.07382013223038256,0.013681681613946268,0.04906261180253673,-0.026787573448211595,-0.06493910911136702,-0.024521641279818887,0.12820895347219266,0.07567380904458758,0.1010411556385313,-0.07910193532156122,-0.1470350438550389,0.13301506826551468,-0.024666657947388315,-0.05131437320626012,0.04598651583863858,0.4405497104728946,-0.09412285044779943,0.09049984764854536,0.09049984764854536,0.09049984764854536,0.09049984764854536,0.14570661436884982,0.09049984764854536,0.21516892962543413,0.1780085527640604,0.09049984764854536,0.09049984764854536,,,0.09049984764854536,0.09049984764854536,-0.9638596566550149,,-0.9638596566550149,0.35115063436294447,,,,-0.06628157855949761,0.18326700324917444,,0.11068555172316283
didwork,-0.08570243819244748,-0.028342154525098903,,0.12234553737156575,0.20496463081541327,0.01074617949206159,,-0.052947774116408726,0.03735307515910479,,0.04828724503989635,0.0037238660843649757,-0.13894570872509548,0.06228859616979345,0.03698107345422242,,0.22243243361140214,0.08426363819258378,1.0,,,,0.11239986378971546,0.12104540149573287,0.08678330610330205,0.1085840884917797,-0.36580127485729824,,,0.1143111188921561,0.023929310858483172,0.28030119397230885,,-0.04407161665508516,-0.0014918023249985172,-0.0631298370487515,-0.05054149222294741,0.0083039070389807,-0.05473318984951511,0.045839469305075944,-0.005628017453989326,-0.005052065551819062,-0.013128674284216671,-0.014471817803506173,0.07420293087762178,-0.051739304633022364,-0.07053889279319508,0.16036840071269354,-0.0669226439751867,0.6698938453032355,,0.034704336775696024,-0.06889276681544149,-0.10348139864656292,-0.059848087923452094,-0.10052734890918351,-0.05889525350685398,0.05159864473590824,-0.044653243772108484,0.05129853267127839,0.06309987384695752,0.09845321777836526,0.060487148449197135,0.1039295735951616,-0.06611450005862815,-0.07078600614669972,1.0,0.08492003614968567,0.06139939057109825,0.08492003614968567,0.0641623850896896,0.026808424267202736,-0.026367279400528312,-0.026367279400528312,0.0429968573448248,0.05593415548080593,-0.07777634187309101,-0.09726264784282151,0.02326177398352644,0.015501091414314728,-0.04214506506959888,-0.026268611937126634,0.01043147948657011,-0.027259445191624137,0.02291773817188269,-0.08891147043394919,-0.004281339203903045,0.183440372086274,-0.0324766389837367,-0.0724724766485714,0.09767923151329665,-0.10472474071958322,0.22243243361140097,0.22243243361140097,0.22243243361140097,0.22243243361140097,0.22243243361140097,0.02259037587424666,0.004686102033049356,0.026080026315497908,0.036367577400964614,0.003531506906096587,0.22243243361140097,,0.22243243361140097,0.11143737411948593,0.22243243361140097,-0.03830702455587994,-0.03423298567550543,-0.03830702455587994,-0.03830702455587948,,,,-0.01707193790012988,-0.03953660775014424,0.030828936402176675,0.01660196835094638
bfeedwks,-0.04867426367873171,0.05537823027799399,,-0.04137063260070892,-0.012067959476229805,-0.006343501460800674,0.017362206152833775,-0.12814023773059088,0.00736237682016219,0.24262509564485604,0.15441517848532998,-0.17050332504222138,0.19901670164088467,0.024694208551010344,0.027851418506640843,-0.19077590155419955,0.02831212516962586,0.01200294249957516,-0.07078600614669972,-0.0359956188741411,0.1722116210919979,-0.0746791162888078,0.020534272910231983,0.07165800258586218,0.14118861087563317,-0.056922771653959835,-0.1448988223236517,0.0027373331522136503,0.11422229516672983,0.13307516070229264,0.13168101436068894,-0.03346032379221504,0.1250233607765862,-0.010615312937001251,-0.04988838336671422,-0.003751592835524578,0.10306504467632444,0.12055070079713873,-0.04732087145851098,0.11267069771841441,-0.017835055878361653,0.0860116381833375,0.10734184668257976,0.06919641222844969,0.05000081230841851,-0.058407322398505435,-0.04515143689833217,0.0018872777583472536,-0.006276620550609513,0.1608413373952502,-0.6128477024751247,-0.04100107826022286,0.0926051250534791,-0.05158491893488268,-0.16366737440853943,-0.051230796296979034,-0.1633478092581816,0.22198651724483595,-0.21055124565082384,0.22609103165415165,0.20705392976706183,0.024077803773507035,0.0347200049179821,0.1355166295154327,-0.05823121345929051,1.0,-0.02381382978977413,0.14794196168901097,0.11487234455475787,0.14773605022588457,0.11468290592175782,0.10240350444713646,-0.10238153206529127,-0.10238153206529127,0.1953339847053386,0.18240107646679496,-0.19980751261796645,-0.18619676059934184,-0.17189672119155938,0.08534959556741038,0.1380920485790613,0.04249791022054777,0.054419677043611614,0.07506238800014242,0.07384512997919418,-0.1485138006983015,-0.16747267947215372,-0.006594800033718783,0.008598296252255538,0.09921698248744348,0.152195209860501,0.014310535995692571,0.026097890891004945,-0.007527502773497492,0.004766690518855506,-0.004265308215546146,0.006790966040029969,0.022676605951480806,-0.01286381342424852,0.02064646707279988,0.01791707802293937,-0.014524757148504163,-0.018942762582127574,-0.010254600929040984,-0.025572153989226753,-0.04570000833662866,-0.011825336912981764,0.03905840844766106,0.028015046546613753,0.03905840844766106,0.02638898757505847,0.00819337722566701,0.002672944304824273,,0.012896948698544778,-0.004356710774441208,-0.0030161743478355645,-0.040137966569444405
